[2026-05-12 20:59:25] INFO | handler=ChatHandler user_id=0eb4dc4f-646c-449d-87d7-c5d97f092467 mode= level=INFO message=Received chat request timestamp=2026-05-12T20:59:25+08:00 traceId= conversation_id=conversation-1778326203512209000 message_preview=贵州茅台2024年经营活动产生的现金流量净额是多少？ 
[2026-05-12 20:59:25] INFO | component=Chain traceId=1778590765680614000-25011 level=INFO message=Component started timestamp=2026-05-12T20:59:25+08:00 
[2026-05-12 20:59:25] INFO | message=Component started timestamp=2026-05-12T20:59:25+08:00 component=Lambda traceId=1778590765680614000-25011 level=INFO 
[2026-05-12 20:59:25] DEBUG | level=DEBUG message=chain.validate_input completed operation=validate_input success=true question=贵州茅台2024年经营活动产生的现金流量净额是多少？ top_k=5 timestamp=2026-05-12T20:59:25+08:00 traceId=1778590765680614000-25011 component=chain duration_ms=0 stock_code=600519 
[2026-05-12 20:59:25] INFO | timestamp=2026-05-12T20:59:25+08:00 component=Lambda traceId=1778590765680614000-25011 level=INFO message=Component completed 
[2026-05-12 20:59:25] INFO | level=INFO message=Component started timestamp=2026-05-12T20:59:25+08:00 component=Lambda traceId=1778590765680614000-25011 
[2026-05-12 20:59:26] DEBUG | duration_ms=330 stock_code=600519 level=DEBUG timestamp=2026-05-12T20:59:26+08:00 traceId=1778590765680614000-25011 success=true top_k=5 message=chain.retrieve_context completed component=chain operation=retrieve_context 
[2026-05-12 20:59:26] DEBUG | timestamp=2026-05-12T20:59:26+08:00 traceId=1778590765680614000-25011 component=chain operation=retrieve_context_done retrieved_count=2 level=DEBUG message=chain.retrieve_context_done recorded 
[2026-05-12 20:59:26] INFO | timestamp=2026-05-12T20:59:26+08:00 component=Lambda traceId=1778590765680614000-25011 level=INFO message=Component completed 
[2026-05-12 20:59:26] INFO | component=Lambda traceId=1778590765680614000-25011 level=INFO message=Component started timestamp=2026-05-12T20:59:26+08:00 
[2026-05-12 20:59:26] INFO | component=ChatTemplate traceId=1778590765680614000-25011 level=INFO message=Component started timestamp=2026-05-12T20:59:26+08:00 
[2026-05-12 20:59:26] INFO | level=INFO message=Component completed timestamp=2026-05-12T20:59:26+08:00 component=ChatTemplate traceId=1778590765680614000-25011 
[2026-05-12 20:59:26] DEBUG | component=chain duration_ms=0 chunk_count=2 timestamp=2026-05-12T20:59:26+08:00 traceId=1778590765680614000-25011 operation=build_prompt success=true level=DEBUG message=chain.build_prompt completed 
[2026-05-12 20:59:26] INFO | component=Lambda traceId=1778590765680614000-25011 level=INFO message=Component completed timestamp=2026-05-12T20:59:26+08:00 
[2026-05-12 20:59:26] INFO | component=Lambda traceId=1778590765680614000-25011 level=INFO message=Component started timestamp=2026-05-12T20:59:26+08:00 
[2026-05-12 20:59:26] INFO | traceId=1778590765680614000-25011 level=INFO message=Component started timestamp=2026-05-12T20:59:26+08:00 component=ChatModel 
[2026-05-12 20:59:54] INFO | component=ChatModel traceId=1778590765680614000-25011 level=INFO message=Component completed timestamp=2026-05-12T20:59:54+08:00 
[2026-05-12 20:59:54] DEBUG | component=chain operation=generate_answer message_count=2 message=chain.generate_answer completed duration_ms=28742 success=true level=DEBUG timestamp=2026-05-12T20:59:54+08:00 traceId=1778590765680614000-25011 
